City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,oktyabrskiy,54.4815,53.471,-18.47,100,94,1.64,RU,1675784562
1,bhind,26.5642,78.7883,17.24,43,0,3.37,IN,1675784565
2,atuona,-9.8,-139.0333,25.89,72,8,7.79,PF,1675784151
3,la ronge,55.1001,-105.2842,-10.86,85,75,2.57,CA,1675784566
4,dikson,73.5069,80.5464,-28.71,95,77,6.36,RU,1675784566
5,poum,-20.2333,164.0167,26.96,83,100,3.61,NC,1675784567
6,hobart,-42.8794,147.3294,13.92,66,100,4.12,AU,1675783907
7,punta arenas,-53.15,-70.9167,13.06,54,75,5.66,CL,1675784197
8,catalina,32.5056,-110.9211,9.02,37,0,1.79,US,1675784274
9,huarmey,-10.0681,-78.1522,24.82,73,39,3.98,PE,1675784569
10,aswan,24.0934,32.907,16.2,26,81,4.4,EG,1675784225
11,rikitea,-23.1203,-134.9692,26.05,72,36,5.03,PF,1675784260
12,det udom,14.906,105.0784,24.9,44,48,2.99,TH,1675784570
13,albany,42.6001,-73.9662,1.4,57,44,3.13,US,1675783962
14,port-gentil,-0.7193,8.7815,28.98,70,20,4.12,GA,1675784571
15,dingle,10.9995,122.6711,23.2,91,100,3.36,PH,1675784571
16,ambilobe,-13.2,49.05,23.37,96,100,1.48,MG,1675784572
17,puerto ayora,-0.7393,-90.3518,28.98,91,23,4.02,EC,1675784196
18,isilkul,54.9109,71.2728,-14.85,98,100,1.91,RU,1675784573
19,cherskiy,68.75,161.3,-35.86,98,100,2.25,RU,1675784208
20,port alfred,-33.5906,26.891,22.88,87,86,2.24,ZA,1675784150
21,beloha,-25.1667,45.05,24.06,74,100,4.76,MG,1675784574
22,mataura,-46.1927,168.8643,10.27,61,74,2.46,NZ,1675784210
23,saint-philippe,-21.3585,55.7679,27.77,83,65,5.89,RE,1675784263
24,butaritari,3.0707,172.7902,27.11,80,100,10.45,KI,1675784575
25,kavieng,-2.5744,150.7967,26.57,82,100,2.06,PG,1675784576
26,megion,61.0296,76.1136,-22.77,99,73,3.58,RU,1675784576
27,norman wells,65.282,-126.8329,-24.98,77,100,0.0,CA,1675784057
28,aguimes,27.9054,-15.4461,18.35,49,75,6.17,ES,1675784578
29,mahebourg,-20.4081,57.7,27.36,78,40,7.72,MU,1675784260
30,vaini,-21.2,-175.2,25.09,94,75,3.6,TO,1675784138
31,ushuaia,-54.8,-68.3,11.79,54,40,3.6,AR,1675783938
32,coahuayana,18.7333,-103.6833,27.04,52,26,0.92,MX,1675784579
33,cape town,-33.9258,18.4232,26.18,73,20,9.26,ZA,1675784178
34,torbay,47.6666,-52.7314,-4.78,83,100,10.8,CA,1675784580
35,laguna,38.421,-121.4238,7.27,92,0,0.0,US,1675784473
36,litovko,49.2361,135.1742,-20.42,78,17,4.73,RU,1675784581
37,lakatoro,-16.0999,167.4164,26.12,76,100,1.27,VU,1675784584
38,scranton,41.409,-75.6624,2.92,69,100,0.89,US,1675784500
39,castro,-24.7911,-50.0119,25.54,57,59,2.12,BR,1675784162
40,fairbanks,64.8378,-147.7164,-12.65,81,100,1.54,US,1675784401
41,portland,45.5234,-122.6762,9.68,77,100,5.66,US,1675784514
42,tomatlan,19.9333,-105.25,25.6,45,48,0.76,MX,1675784615
43,kahului,20.8947,-156.47,23.8,83,0,7.15,US,1675784618
44,busselton,-33.65,115.3333,16.95,90,0,5.75,AU,1675784199
45,marystown,47.1666,-55.1483,-4.13,74,100,9.99,CA,1675783913
46,tuchkovo,55.6011,36.4681,-6.11,97,25,1.12,RU,1675784620
47,kapaa,22.0752,-159.319,21.22,94,14,5.38,US,1675784219
48,bengkulu,-3.8004,102.2655,25.36,85,99,3.87,ID,1675784333
49,qaanaaq,77.484,-69.3632,-30.18,71,98,2.94,GL,1675784217
50,zarubino,42.63,131.0922,-6.26,72,80,2.11,RU,1675784622
51,scarborough,54.2797,-0.4044,8.28,82,87,0.89,GB,1675784623
52,saquena,-4.6667,-73.5167,24.12,88,99,0.24,PE,1675784624
53,hilo,19.7297,-155.09,22.57,87,100,1.34,US,1675784210
54,marsh harbour,26.5412,-77.0636,21.92,62,3,8.27,BS,1675784625
55,mayna,54.1135,47.6231,-18.16,99,50,2.37,RU,1675784626
56,carnarvon,-24.8667,113.6333,24.8,72,3,9.91,AU,1675784626
57,leshukonskoye,64.8989,45.7622,-6.35,95,100,5.06,RU,1675784627
58,prudyanka,50.2361,36.1683,-7.56,87,24,5.98,UA,1675784628
59,mount gambier,-37.8333,140.7667,12.48,87,79,3.35,AU,1675784269
60,luderitz,-26.6481,15.1594,23.87,62,0,13.01,NA,1675784629
61,north bend,43.4065,-124.2243,8.98,96,100,3.6,US,1675784374
62,bursa,40.1667,29.0833,-1.98,90,97,3.49,TR,1675784631
63,geraldton,-28.7667,114.6,22.23,83,75,6.69,AU,1675784574
64,hithadhoo,-0.6,73.0833,27.79,67,100,4.48,MV,1675784632
65,chimore,-16.9833,-65.1333,23.01,98,100,0.19,BO,1675784633
66,berlevag,70.8578,29.0864,2.97,70,0,13.89,NO,1675784634
67,deputatskiy,69.3,139.9,-43.65,99,59,2.12,RU,1675784634
68,san jose,37.3394,-121.895,10.5,80,20,1.54,US,1675784556
69,muros,42.7762,-9.0603,14.91,46,0,8.46,ES,1675784635
70,xuzhou,34.1805,117.1571,7.52,68,100,1.93,CN,1675784636
71,gijon,43.5357,-5.6615,8.78,66,98,9.83,ES,1675784637
72,namatanai,-3.6667,152.4333,26.01,83,100,2.15,PG,1675784638
73,horsham,51.064,-0.3272,9.06,69,0,1.03,GB,1675784639
74,tuktoyaktuk,69.4541,-133.0374,-34.0,68,75,0.0,CA,1675784148
75,lufilufi,-13.8745,-171.5986,24.88,78,90,4.56,WS,1675784640
76,saskylakh,71.9167,114.0833,-34.11,99,100,0.99,RU,1675784215
77,narsaq,60.9167,-46.05,-21.88,59,79,4.38,GL,1675784154
78,yulara,-25.2406,130.9889,27.84,21,0,3.86,AU,1675784642
79,skibbereen,51.55,-9.2667,9.5,75,84,2.26,IE,1675784648
80,piranshahr,36.701,45.1413,-1.45,97,74,2.96,IR,1675784652
81,lalibela,12.0333,39.0333,19.73,22,11,3.75,ET,1675784655
82,ipixuna,-1.7625,-48.8043,29.07,69,88,1.59,BR,1675784657
83,laramie,41.3114,-105.5911,-3.91,74,0,2.57,US,1675784659
84,meadow lake,34.8014,-106.5436,1.44,82,100,4.27,US,1675784660
85,ikom,5.9667,8.7063,37.38,23,79,1.49,NG,1675784663
86,sao filipe,14.8961,-24.4956,20.76,63,0,6.15,CV,1675784665
87,barrow,71.2906,-156.7887,-24.99,77,75,2.06,US,1675784203
88,waddan,29.1614,16.139,15.44,36,100,5.08,LY,1675784674
89,saint-pierre,-21.3393,55.4781,27.82,65,20,3.6,RE,1675784675
90,chokurdakh,70.6333,147.9167,-41.22,100,99,1.77,RU,1675784268
91,dukat,62.55,155.55,-40.01,100,99,1.89,RU,1675784678
92,bluff,-46.6,168.3333,10.45,77,80,12.51,NZ,1675784266
93,mizan teferi,6.9833,35.5833,24.2,36,89,0.66,ET,1675784681
94,sibu,2.3,111.8167,22.8,97,86,0.42,MY,1675784682
95,dudinka,69.4058,86.1778,-23.55,100,94,1.43,RU,1675784683
96,olafsvik,64.8945,-23.7142,-2.2,64,100,17.62,IS,1675784685
97,alice springs,-23.7,133.8833,25.75,65,46,2.57,AU,1675784686
98,jamestown,42.097,-79.2353,5.95,64,0,8.75,US,1675784158
99,varadero,23.1536,-81.2514,26.42,69,68,9.49,CU,1675784687
100,ribeira grande,38.5167,-28.7,14.22,58,75,8.23,PT,1675784276
101,tiksi,71.6872,128.8694,-32.29,99,100,1.75,RU,1675784688
102,tazovskiy,67.4667,78.7,-28.67,100,97,2.17,RU,1675784689
103,ornskoldsvik,63.2909,18.7153,-0.47,93,0,2.06,SE,1675784690
104,leningradskiy,69.3833,178.4167,-31.13,97,100,2.89,RU,1675784692
105,cabo san lucas,22.8909,-109.9124,20.59,70,20,1.54,MX,1675784693
106,sao pedro,-22.5486,-47.9139,28.14,59,97,2.38,BR,1675784694
107,vagur,61.4732,-6.8119,6.65,79,94,18.6,FO,1675784695
108,iqaluit,63.7506,-68.5145,-35.15,66,40,1.03,CA,1675784696
109,kodiak,57.79,-152.4072,-1.27,74,0,5.14,US,1675784201
110,launceston,-41.45,147.1667,15.9,74,100,2.57,AU,1675784602
111,clyde river,70.4692,-68.5914,-35.87,75,40,1.03,CA,1675784697
112,karaidel,55.8337,56.9069,-20.99,100,86,1.46,RU,1675784697
113,lantawan,10.6167,123.9833,25.83,83,99,3.67,PH,1675784698
114,cidreira,-30.1811,-50.2056,26.47,62,2,4.15,BR,1675784697
115,nicoya,10.1483,-85.452,30.59,49,80,5.94,CR,1675784699
116,palasa,18.7667,84.4167,20.96,85,13,2.65,IN,1675784700
117,lethem,3.3803,-59.7968,28.03,74,100,6.17,GY,1675784701
118,vila,42.0304,-8.1588,9.49,41,0,2.94,PT,1675784705
119,thompson,55.7435,-97.8558,-26.91,76,75,0.0,CA,1675784258
120,kedrovyy,56.1667,91.8167,-14.77,95,100,1.9,RU,1675784710
121,san ramon,37.7799,-121.978,8.23,82,0,1.54,US,1675784421
122,khowai,24.1,91.6333,19.88,50,0,1.59,IN,1675784720
123,ponta do sol,32.6667,-17.1,18.73,59,47,3.0,PT,1675784722
124,kruisfontein,-34.0033,24.7314,21.05,74,98,6.56,ZA,1675784275
125,kousseri,12.0769,15.0306,34.98,9,99,6.17,CM,1675784725
126,tigil,57.8,158.6667,-20.94,98,100,2.19,RU,1675784205
127,goundam,16.4145,-3.6708,34.65,8,95,3.92,ML,1675784732
128,aklavik,68.2191,-135.0107,-31.0,76,100,2.57,CA,1675784735
129,stari bohorodchany,48.8336,24.5243,-4.43,95,100,3.12,UA,1675784738
130,upata,8.0086,-62.3989,29.86,46,71,3.74,VE,1675784739
131,manokwari,-0.8667,134.0833,25.21,89,100,4.19,ID,1675784739
132,polunochnoye,60.8697,60.4153,-21.32,100,26,1.52,RU,1675784740
133,bredasdorp,-34.5322,20.0403,22.53,63,100,5.39,ZA,1675784069
134,new norfolk,-42.7826,147.0587,13.72,60,45,0.45,AU,1675784741
135,kaeo,-35.1,173.7833,14.07,93,60,1.76,NZ,1675784742
136,adrar,20.5022,-10.0711,24.57,14,4,5.86,MR,1675784742
137,vostok,46.4856,135.8833,-18.23,99,100,1.99,RU,1675784328
138,alamos,27.0167,-108.9333,17.55,29,67,1.69,MX,1675784744
139,chuy,-33.6971,-53.4616,29.6,39,3,2.95,UY,1675784321
140,elizabeth city,36.2946,-76.2511,10.01,73,0,2.06,US,1675784746
141,avarua,-21.2078,-159.775,26.03,89,40,2.57,CK,1675784233
142,port elizabeth,-33.918,25.5701,25.16,79,20,7.6,ZA,1675784322
143,khatanga,71.9667,102.5,-43.48,100,72,0.78,RU,1675784748
144,muzhi,65.3667,64.6667,-21.69,95,66,3.21,RU,1675784749
